tax	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania aerophila	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Qipengyuania	Qipengyuania aerophila
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassobaculaceae;Thalassobaculum;Thalassobaculum litoreum	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassobaculaceae	Thalassobaculum	Thalassobaculum litoreum
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Mameliella;Mameliella alba	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Mameliella	Mameliella alba
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Hoeflea;Hoeflea alexandrii	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Hoeflea	Hoeflea alexandrii
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nevskiales;Algiphilaceae;Algiphilus;Algiphilus acroporae	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Nevskiales	Algiphilaceae	Algiphilus	Algiphilus acroporae
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Reichenbachiellaceae;Ekhidna;Ekhidna lutea	Bacteria	Bacteria_none	Bacteroidota	Cytophagia	Cytophagales	Reichenbachiellaceae	Ekhidna	Ekhidna lutea
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter;Marinobacter algicola	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Marinobacter algicola
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus halotolerans	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halotolerans
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius indicus	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	Roseovarius indicus
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter;Maribacter flavus	Bacteria	Bacteria_none	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter flavus
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Marivibrio;Marivibrio halodurans	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Marivibrio	Marivibrio halodurans
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella boydii
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia fergusonii
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria innocua	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;Thalassospira profundimaris	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	Thalassospira profundimaris
