tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Parvibaculaceae;Tepidicaulis	0	0	0	0	0	0	0	0	0	1111	293	297	1262	341	279	1036	320	291	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	162	119	558	156	132	248	81	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7250
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia	109	32	33	304	79	58	83	19	25	14	6	7	21	6	9	19	8	5	222	72	71	291	78	87	214	69	66	1049	278	307	356	72	78	396	100	112	0	0	0	0	1	0	0	0	0	1328	361	364	0	0	0	0	0	0	0	0	0	0	0	0	6809
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Parvibaculaceae;Pyruvatibacter	0	0	0	0	0	0	1	0	0	59	11	12	132	34	28	116	28	31	312	77	69	696	167	174	461	118	124	1186	344	316	640	166	155	774	199	191	0	0	0	1	0	0	0	0	0	125	38	20	0	0	0	0	0	0	0	0	0	0	0	0	6805
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1693	389	442	2812	659	751	0	0	0	0	0	0	6751
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Parahaliea	65	13	8	79	15	17	62	21	16	109	32	23	134	38	37	258	66	52	159	32	38	164	36	53	108	28	32	1347	318	330	555	115	146	707	181	168	0	0	0	0	0	0	0	0	0	384	110	100	0	0	0	0	0	0	0	0	0	0	0	0	6156
Bacteria;Bacteria_none;Balneolaeota;Balneolia;Balneolales;Balneolaceae;Gracilimonas	1599	446	413	695	172	170	675	169	191	154	58	47	133	27	28	132	37	21	0	0	0	0	0	0	0	0	0	257	72	72	184	51	43	120	22	31	0	0	0	0	0	0	0	0	0	85	24	24	0	0	0	0	0	1	0	0	0	0	0	0	6153
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Hwanghaeella	1172	385	338	1545	411	399	1116	289	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	8	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5975
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira	1082	275	318	912	233	222	1868	506	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	4	0	0	5	1	2	0	0	0	0	0	0	0	0	0	11	5	4	0	0	0	0	0	0	0	0	0	0	0	0	5949
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1591	424	418	1854	436	470	0	0	0	0	0	0	5197
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1483	395	367	1404	378	407	0	0	0	0	0	0	4435
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	988	280	282	1508	397	437	0	0	0	0	0	0	3894
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nioella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976	297	252	430	141	114	641	195	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3237
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	136	139	1124	294	283	0	0	0	0	0	0	2449
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania	1	0	0	0	0	0	0	0	0	27	8	8	38	8	6	54	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	145	113	428	121	107	270	73	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1966
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	82	110	803	222	227	0	0	0	0	0	0	1821
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Kineobactrum	192	41	57	849	229	205	133	48	34	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0	1	1	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1804
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Tagaea	1	0	0	0	2	0	0	1	0	160	44	48	150	37	33	162	42	49	241	73	70	202	56	44	183	61	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1721
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Reichenbachiellaceae;Marinoscillum	61	12	13	101	28	24	119	27	38	117	38	21	56	17	12	46	10	15	0	0	0	0	0	0	0	0	0	130	34	37	45	22	14	47	13	21	52	20	16	64	8	14	22	4	5	92	26	30	0	0	0	0	0	0	0	0	0	0	0	0	1471
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Silicimonas	303	86	91	530	148	153	69	21	18	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1422
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pacificispira	2	1	1	28	3	5	23	8	6	31	8	9	20	4	4	26	7	10	224	85	59	175	54	35	144	44	45	97	19	24	50	8	13	41	11	10	0	0	0	0	0	0	0	0	0	42	14	9	0	0	0	0	0	0	0	0	0	0	0	0	1399
